date,price_usd,volume_24h_usd,market_cap_usd
2015-08-08,2.7937614917755127,165728.97,167911256.6311741
2015-08-09,0.7061358690261841,647882.06,42637543.6817404
2015-08-10,0.7139888405799866,527860.06,43130006.715620756
2015-08-11,0.7080874443054199,405093,42796572.527094126
2015-08-12,1.0587490797042847,1472998.13,64018386.96646768
2015-08-13,1.2222378253936768,2154219.75,73935239.58453429
2015-08-14,1.8109209537506104,4023832,109593570.5243944
2015-08-15,1.8028929233551025,4638145,109160030.96865928
2015-08-16,1.684350609779358,2546763.75,102028033.22011477
2015-08-17,1.5811883211135864,3575121.5,95819595.61636072
2015-08-18,1.2152959108352661,1920050.25,88142921.6639126
2015-08-19,1.1669319868087769,1592492.25,84664066.94280714
2015-08-20,1.251181960105896,1484407,90809129.47397977
2015-08-21,1.4775214195251465,2857844.5,107266267.99536872
2015-08-22,1.396287441253662,2017161.38,101404293.99642396
2015-08-23,1.374997615814209,967345.88,99894340.60007787
2015-08-24,1.3455872535705566,1573108.63,97791422.22981238
2015-08-25,1.2286137342453003,922260.13,89322141.87443429
2015-08-26,1.1327941417694092,1300872.5,82384754.09868515
2015-08-27,1.1698126792907715,1053227.25,85106271.11930251
2015-08-28,1.1476565599441528,684654.31,83521424.00911397
2015-08-29,1.1935298442840576,720588.06,86887582.79837573
2015-08-30,1.1829895973205566,373400.84,86145906.39307237
2015-08-31,1.3213788270950317,1341632.75,96250958.82566088
2015-09-01,1.3534761667251587,1446280.38,98616872.85857326
2015-09-02,1.3515676259994507,777269,98504411.76682538
2015-09-03,1.295192837715149,883258.56,94418910.92061192
2015-09-04,1.2649320363998413,700524.75,92234290.9714114
2015-09-05,1.2805609703063965,475229.06,93402344.23748517
2015-09-06,1.3380056619644165,445708.22,97625195.45412987
2015-09-07,1.2959049940109253,491933.69,94585637.46179634
2015-09-08,1.2466468811035156,488334.22,91020506.83464241
2015-09-09,1.239351511001587,430036.44,90518399.19030511
2015-09-10,1.2076092958450317,363823.59,88230441.54753155
2015-09-11,1.1649677753448486,664042.38,85144099.40137374
2015-09-12,0.9872280955314636,1945154.88,72179000.92430589
2015-09-13,1.0417814254760742,770111.31,76193716.65703154
2015-09-14,0.9405657649040222,646379.5,68814411.3063164
2015-09-15,0.8751891851425171,737595.31,64052458.20278221
2015-09-16,0.9419772028923035,702881.94,68963300.70692167
2015-09-17,0.9068646430969238,613650.25,66415143.98960185
2015-09-18,0.8745740056037903,897758.63,64071344.562261015
2015-09-19,0.8496026992797852,483988.81,62262713.68818426
2015-09-20,0.8811911940574646,386288.66,64600034.35187295
2015-09-21,0.9414955973625183,507027.19,69045902.90464237
2015-09-22,0.9193369746208191,426582.59,67444188.14429685
2015-09-23,0.903560221195221,484120.84,66309624.100445956
2015-09-24,0.8967964053153992,199070.05,65836398.36828491
2015-09-25,0.8200312256813049,842781.38,60221449.461443156
2015-09-26,0.7376298308372498,900100.06,54188932.145062834
2015-09-27,0.7912766337394714,372754.88,58149531.51865986
2015-09-28,0.7237154841423035,413403.13,53201852.64083001
2015-09-29,0.5794140100479126,1319962.38,42607690.4322086
