date,year,redemption_pct,min_steth_price,min_discount,min_discount_pct,steth_requested,steth_outstanding
2023-05-15,2023,0.00011728090929589332,1788.8207585566713,-0.007234428411218,-0.7234428411218,784.2951650389227,6687321.66
2023-05-16,2023,0.06568856073898757,1791.1213357607417,-0.0125025488591425,-1.2502548859142502,441204.05572569737,6716604.09
2023-05-17,2023,0.0010829428192106584,1780.3060395996004,-0.012012388503343,-1.2012388503343,6839.355188140726,6315527.529999999
2023-05-18,2023,0.0003390632411588298,1776.1126778720732,-0.009036837655311,-0.9036837655311001,2158.947487637064,6367388.81
2023-05-19,2023,0.0003831259626644392,1789.4106121424124,-0.0079909292898742,-0.79909292898742,2454.592357081886,6406750.249999998
2023-05-20,2023,5.4621456898756064e-05,1797.3877978355913,-0.0089443057737448,-0.8944305773744801,351.5107937271874,6435397.62
2023-05-21,2023,4.5016857361391427e-05,1793.2775024958248,-0.0118617833157296,-1.18617833157296,292.1149771389004,6489013.1
2023-05-22,2023,4.952564281301796e-05,1790.66132980034,-0.0089234362485925,-0.89234362485925,323.0001012467943,6521876.0
2023-05-23,2023,0.00023941902616891078,1804.3771951568908,-0.0139763951030618,-1.39763951030618,1590.3553613896925,6642560.4799999995
2023-05-24,2023,0.0004710967995884813,1784.3500607515596,-0.0077129571491392,-0.7712957149139199,3142.719599634595,6671069.730000001
2023-05-25,2023,0.00013586325335444567,1770.645174063433,-0.0109530984817597,-1.09530984817597,909.60038221366,6694969.83
2023-05-26,2023,0.00021290176164026,1788.070897967949,-0.0136623121789878,-1.3662312178987799,1435.6310837287824,6743162.070000001
2023-05-27,2023,9.17948604490876e-05,1810.081891460098,-0.0073931211569475,-0.73931211569475,623.5582002106692,6792953.300000001
2023-05-28,2023,0.00014285365973456474,1816.329237312216,-0.0126515181470936,-1.26515181470936,973.3155438942338,6813374.93
2023-05-29,2023,0.00022901342740696537,1886.726995716212,-0.0052482097772192,-0.5248209777219199,1567.1835596852825,6843195.08
2023-05-30,2023,0.00013508209473415562,1885.2673769551168,-0.0064211258321738,-0.64211258321738,931.1481601823874,6893201.960000001
2023-05-31,2023,0.0001863027791343139,1842.756948486564,-0.011516281312332,-1.1516281312332,1294.522239534678,6948485.930000002
2023-06-01,2023,0.0001676364484190224,1837.5533715482827,-0.0119235622741205,-1.1923562274120498,1173.3737195865242,6999514.31
2023-06-02,2023,0.0002024809474105246,1850.0933079362555,-0.0091534846760175,-0.91534846760175,1425.3241432309528,7039300.049999998
2023-06-03,2023,0.0009306664091597483,1880.8546940947435,-0.005933426341397,-0.5933426341397,6569.638556454185,7059069.17
2023-06-04,2023,0.0009090875071463672,1883.535057691174,-0.0068761244457541,-0.68761244457541,6419.826548754094,7061835.629999999
2023-06-05,2023,0.0002849439689082054,1800.6544304915467,-0.004488730195762,-0.4488730195762,2015.166019556616,7072148.35
2023-06-06,2023,0.0012083449136492481,1801.8524541096524,-0.013569153994814,-1.3569153994814,8577.646766555554,7098674.120000001
2023-06-07,2023,0.0019617045761495784,1821.9853124197616,-0.0093088369386662,-0.93088369386662,14019.858770080684,7146773.75
2023-06-08,2023,0.0021891259759732246,1824.663763827382,-0.0090767332357792,-0.90767332357792,15675.031210939733,7160406.200000001
