date,requests_submitted,steth_requested,max_request_id,requests_finalized,eth_finalized,cumulative_requests,cumulative_finalized,queue_length,queue_steth,finalization_rate_daily,price_eth,discount_pct,steth_usd,eth_usd
2023-05-15 00:00:00+00:00,69,784.2951650389227,69,0.0,0.0,69,0.0,69.0,784.2951650389227,0.0,0.9989668503377178,0.1033149662282184,1798.46,1800.32
2023-05-16 00:00:00+00:00,501,441204.05572569737,570,96.0,11442.950050227277,570,96.0,474.0,430545.400840509,0.1916167664670658,0.998628922575423,0.1371077424576983,1813.6,1816.09
2023-05-17 00:00:00+00:00,48,6839.355188140726,618,507.0,437333.7971331544,618,603.0,15.0,50.95889549527783,10.5625,0.9994243862861402,0.0575613713859834,1823.09,1824.14
2023-05-18 00:00:00+00:00,63,2158.947487637064,681,42.0,1936.6951198104168,681,645.0,36.0,273.21126332192216,0.6666666666666666,0.9985673195151942,0.1432680484805826,1819.15,1821.76
2023-05-19 00:00:00+00:00,59,2454.592357081886,740,57.0,447.0098710899704,740,702.0,38.0,2280.79374931386,0.9661016949152542,0.9993674011841808,0.063259881581934,1800.95,1802.09
2023-05-20 00:00:00+00:00,60,351.5107937271874,800,56.0,2334.976516391267,800,758.0,42.0,297.328026649775,0.9333333333333332,0.9989625239364492,0.1037476063550868,1810.21,1812.09
2023-05-21 00:00:00+00:00,50,292.1149771389004,850,58.0,331.9533034629033,850,816.0,34.0,257.4897003257647,1.16,0.9998186504294688,0.0181349570531286,1819.36,1819.69
2023-05-22 00:00:00+00:00,39,323.0001012467943,889,51.0,377.8313411286702,889,867.0,22.0,202.65846044389764,1.3076923076923077,0.9994958644263104,0.0504135573689557,1804.16,1805.07
2023-05-23 00:00:00+00:00,50,1590.3553613896925,939,40.0,1390.417178096818,939,907.0,32.0,402.5966437367606,0.8,0.9992134429746156,0.0786557025384326,1816.62,1818.05
2023-05-24 00:00:00+00:00,53,3142.719599634595,992,57.0,2784.624125099989,992,964.0,28.0,760.6921182713704,1.0754716981132075,0.9984679620658776,0.1532037934122376,1850.9,1853.74
2023-05-25 00:00:00+00:00,49,909.60038221366,1041,47.0,1329.472905156932,1041,1011.0,30.0,340.8195953280665,0.9591836734693876,0.9998277184363502,0.0172281563649789,1799.07,1799.38
2023-05-26 00:00:00+00:00,49,1435.6310837287824,1090,50.0,1722.7403164648815,1090,1061.0,29.0,53.71036259201355,1.020408163265306,0.9989478464077262,0.1052153592273841,1803.92,1805.82
2023-05-27 00:00:00+00:00,49,623.5582002106692,1139,57.0,417.24455589009904,1139,1118.0,21.0,260.0240069126012,1.163265306122449,0.9994750168158676,0.052498318413241,1827.67,1828.63
