date,eth_price_close,steth_price_close,eth_volume,steth_volume,eth_mcap_close,steth_mcap_close,discount_mean,discount_close,discount_min,discount_max,steth_vol_7d,eth_vol_7d,n_obs,is_discount,is_premium
2020-12-23,587.16538715132,580.1641983596318,16797889320.58,17377.37,66910996616.39096,4439996.610046262,-0.004644277675193069,-0.011923708285420442,-0.015805449197122234,0.00736016025749664,,,13,1,0
2020-12-24,610.1342716946017,613.3281111819955,13218899153.73,103646.9,69536598389.40356,4693800.034875811,-0.01974189350612665,0.005234650200066859,-0.03855241145468502,0.012835627691007545,1.4956007839986254,1.0663292289040114,24,1,0
2020-12-25,622.1992938612001,619.8764146235176,12250649290.64,45176.4,70920033301.96866,4743914.20111378,-0.008523980116529153,-0.003733336345123961,-0.02016812644744137,0.0035148108382399013,1.23930105117103,0.898966069406581,24,1,0
2020-12-26,635.204884742612,625.7138033945082,14601096625.14,10274.88,72411099660.09984,4788587.737378172,-0.0071534989002999495,-0.014941763793188678,-0.01650124899197125,0.0029044355524712184,1.1481299890480916,0.8537402791186178,24,1,0
2020-12-27,684.0534785046417,682.8368834807529,25861527751.54,89375.14,77988950895.35393,5225750.669278203,-0.015038500131799687,-0.0017785086431374442,-0.03294855939906316,-0.0017785086431374442,1.3084238686907248,1.0520764816610502,24,1,0
2020-12-28,726.5588163964374,722.066519524136,24199453183.85,2160.0,82844916295.76224,5525975.073918212,-0.0029758509492636698,-0.006182977579959892,-0.008174429972319208,0.002431654646037451,1.2664474643656092,1.0331450903727746,24,1,0
2020-12-29,728.8072457012487,712.4577861124768,18538723907.23,112456.7,83110967098.58694,5452439.437118785,-0.012613667548832816,-0.02243317377153764,-0.026101137251200335,-0.00032385225710818144,1.2349571363398801,1.0058810249571046,24,1,0
2020-12-30,745.9645156835776,700.6356039968891,17139725258.26,57156.91,85077687814.04929,5361964.277388193,-0.027376725930600698,-0.06076550658063207,-0.06076550658063207,-0.0061002014704075735,1.1967892175568304,0.9377668351458909,24,1,0
2020-12-31,738.4227005277199,733.5467205440684,15285234578.68,122183.63,84227450930.01334,0.0,-0.017433394299748887,-0.006603236845463822,-0.04268880073795722,-9.334674084959804e-05,1.1234275954841817,0.9054062150260194,24,1,0
2021-01-01,730.9891165925612,722.3718122065388,12476718939.92,5091.86,83389444295.8114,0.0,-0.010047553537730102,-0.011788553605546426,-0.013728747389107343,-0.006246185666421211,1.1087914014684934,0.9032733848461855,24,1,0
2021-01-02,768.3290762337607,760.7122225156263,21733211489.64,33870.17,87659574969.54736,0.0,-0.013749191265303148,-0.009913530482890343,-0.023955010947574018,-0.008208170458420927,1.1406691162174283,0.9430130352820675,24,1,0
2021-01-03,991.4791367996022,966.9466883065264,43627935872.65,29298.45,113132404297.03708,0.0,-0.018993960640992232,-0.024743282619404505,-0.04974927640659288,-0.00343961021544803,1.165461127398269,0.9934187138452291,24,1,0
2021-01-04,1008.1351295390648,1008.1284141899306,56829332058.58,235395.52,115046552981.97444,0.0,-0.0179187823172921,-6.6611597369092834e-06,-0.04282820386194963,0.008882281908247025,1.5490221870001868,1.3194913829495325,24,1,0
2021-01-05,1116.14044730171,1115.2455939655783,41448260540.57,429767.92,127387059639.00735,19438251.147214625,-0.024144851283373975,-0.0008017390090064858,-0.0674069645817088,0.0053645050585198195,1.764366892634738,1.5201086337164136,24,1,0
2021-01-06,1183.2943141700948,1167.113127612239,43851444265.14,36813.9,135067500595.70828,21378571.372774635,-0.020716297394490605,-0.013674693070087618,-0.05589035982179835,0.0023031579959187365,1.8258086209002227,1.6407468343452125,24,1,0
2021-01-07,1236.0872355010358,1200.735663998034,40277270651.1,28781.88,141110103312.9467,22343685.47844453,-0.019602186221739797,-0.028599576540948912,-0.04151458063582869,-0.004461217498533232,1.90253676683035,1.7148408499853178,24,1,0
2021-01-08,1215.4096846912173,1222.6722589866636,44721984198.31,60858.65,138766101520.03064,23448640.89057544,-0.011217337710853578,0.0059754125599973396,-0.05079003996370657,0.06214772420280301,2.259092607640544,1.8498139006826662,24,1,0
2021-01-09,1292.0736990378955,1250.5096607978564,32706378998.02,17149.03,147536425453.6384,26766571.54983754,-0.014886679635358585,-0.032168473262003894,-0.03884303369747477,0.007135305755196164,2.2987895443967536,1.8670225415591766,24,1,0
2021-01-10,1276.1796224100513,1293.859108871431,40781929542.56,29988.5,145738824173.2624,27694446.11161181,-0.00440038878961721,0.013853446764799715,-0.03284052801704784,0.01448408241502519,2.297298240802095,1.8219872185062111,24,1,0
